task,stage,user,editors,updatedAt,instructions_understand,instructions_execute,instructions_replicate,goal_maximize,goal_standard,goal_optimize,goal_full,goal_partial,measure_easy,measure_immediate,outcome_certain,outcome_probablistic,outcome_evident,solution_valid,solution_optimal,solution_count,solution_range,solution_singularity,solution_path,solution_objectivity,solution_verifiability,solution_demonstrability,stakeholder_multiplicity,metric_multiplicity,objective_multiplicity,solution_multiplicity,individual_theoretical,individual_practical,group_dependencies,participation_equal,conflict_cooperation,conflict_interests,external_adversary,external_standard,task_divisibility,task_specialization,skills_specialization,subtasks_additive,subtasks_disjunctive,performance_all,performance_worst,performance_best,performance_random,performance_average,performance_cumulative,submission_together,submission_separate,subtasks_discretionary_weight,subtasks_discretionary_combination,complexity_easier,complexity_harder,familiarity_population,familiarity_individual,intrinsic_overall,intrinsic_mastery,intrinsic_connectedness,intrinsic_autonomy,effort_mental,effort_physical,generate_plan,generate_process,generate_ideas,generate_creativity,resolve_opinion,resolve_perspectives,resolve_information,resolve_data,options_evaluating,options_independent,options_dependent,metric_multiplicity_tradeoff,name_clean,name,phase,source,implemented,task summary url
Recall association,agreement,Katelyn | Sarika,sarikasu -> katelynbottcher,2021-10-22T15:17:39.259Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,More than 20,More than 20,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Shorten the list,Remove the topic areas on each list,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,recall association,Recall association,2,https://link.springer.com/article/10.3758/BF03196740,FALSE,https://github.com/Watts-Lab/task-mapping/blob/1268e33fb640b059dfa6a04cf627008f48ed2693/tasks/recall-association.md
Iterated Snowdrift Game (aka Hawk-Dove game),individual,Sarika,sarikasu -> katelynbottcher,2021-03-18T14:31:45.883Z,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,2-5,4,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,"c(""Average performance"", ""Cumulative performance"", ""Performance of a randomly chosen member"")",Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,allow the participants to talk ,change participant partners each round ,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,NA,iterated snowdrift game aka hawk dove game,Iterated Snowdrift Game (aka Hawk-Dove game),2,Kummerli 2007,FALSE,.github/Iterated Snowdrift Game (aka Hawk-Dove game).md
Image rating,individual,Sarika,sarikasu -> KaranSampath,2021-09-06T14:23:13.386Z,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,2-5,5,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Best performing member,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Provide a description of each image that aligns with Mturk rating- positive or negative ,show images that are very similar to each other,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,image rating,Image rating,2,https://doi.org/10.1371/journal.pone.0115212,FALSE,https://github.com/Watts-Lab/task-mapping/blob/cac8624d243a2487c0090c018041bbeb4147ad6b/tasks/Image%20rating.md
Ultimatum game (various versions),individual,Sarika,sarikasu -> andydrew93,2021-03-17T20:59:36.295Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,I don't know,It will depend on the amount of money available to allocate ,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Average performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Allow the proposer and responder to explain their reasoning ,allow the responder to make a counter-proposal ,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,NA,ultimatum game,Ultimatum game (various versions),2,https://en.wikipedia.org/wiki/Ultimatum_game,FALSE,https://github.com/Watts-Lab/task-mapping/blob/3f20f82695837099f1584311eb57e9155b9d4830/tasks/Ultimatum%20game%20(various%20versions).md
Room assignment task,individual,Sarika,katelynbottcher -> sarikasu,2021-04-17T14:50:16.105Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,6-10,6-10,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,reduce number of students that need a room assignment; remove constraints ,add more students and constraints ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,room assignment,Room assignment task,2,https://psyarxiv.com/ra9qy/,TRUE,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Room%20assignment%20task.md
Ultimatum game (various versions),individual,Andrew,sarikasu -> andydrew93,2021-03-16T17:49:20.046Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,I don't know,I don't know,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Worst performing member,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Add showing up fee to reduce pressure of coming to agreement,Play over rounds to add reputation effects,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,NA,ultimatum game,Ultimatum game (various versions),2,https://en.wikipedia.org/wiki/Ultimatum_game,FALSE,https://github.com/Watts-Lab/task-mapping/blob/3f20f82695837099f1584311eb57e9155b9d4830/tasks/Ultimatum%20game%20(various%20versions).md
Word construction from a subset of letters,individual,Katelyn,katelynbottcher -> dodgehill,2021-10-10T18:11:16.572Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,More than 20,More than 20,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"c(""Best performing member"", ""Cumulative performance"")",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,more letters,less letters,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,word construction from a subset of letters,Word construction from a subset of letters,2,https://psycnet.apa.org/record/2000-12254-014,FALSE,https://github.com/Watts-Lab/task-mapping/blob/Word-contruction-from-a-subset-of-letters/Word%20construction%20from%20a%20subset%20of%20letters.md
Best job candidate (hidden-profile),individual,Sarika,sarikasu -> katelynbottcher,2021-05-31T17:54:47.496Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2-5,2-5,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,participants all have same information ,give participants conflicting information ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,best job candidate,Best job candidate (hidden-profile),2,https://www.sciencedirect.com/science/article/pii/S0022103106000898  https://psycnet.apa.org/record/2006-21634-007,FALSE,https://github.com/Watts-Lab/task-mapping/issues/110#issue-861525108
5 squares problem,individual,joycewang3,dodgehill -> joycewang3,2021-10-29T14:46:19.657Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,NA,"c(""Best performing member"", ""Worst performing member"", ""Average performance"")",NA,NA,NA,NA,NA,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Less distraction images in the card sets or lift the barriers,Increase the number of cards and add in more distraction images,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,5 squares problem,5 squares problem,2,in Ambibola 2006; originally Alex Bavelas 1973,FALSE,https://github.com/Watts-Lab/task-mapping/blob/e358e749d3282e8d5337d6e1626b224f3e6c3970/tasks/5%20squares%20problem.md
Bullard Houses,agreement,Dodge | Sarika,dodgehill -> sarikasu,2021-09-30T13:37:14.342Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,More than 20,More than 20 ,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Give opposing groups an easier middle ground, i.e. increase buyers offer",add a third party to the negotiation,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,bullard houses,Bullard Houses,2,https://d1wqtxts1xzle7.cloudfront.net/51359748/The_Agreement_Bias_in_Negotiation_Teams_20170115-19001-1910usu.pdf?1484476045=&response-content-disposition=inline%3B+filename%3DThe_Agreement_Bias_in_Negotiation_Teams.pdf&Expires=1607052392&Signature=SeqqYgwSvql2TaWuUf3h8dxy-5Z~kbdlEeeIwGVJtMXTrGo5VHB6uldnx07DjJcxszcgZUJxflH1A9DZZf-ypFJ1UePsbh~TH~LC65vH9JrJYY-zaJxxTFEOOc3rlm6C49G~Zq0xSBBYfMton37gV1pLefCC8EH2E1eaozkeEBT-a56127Evom~H4PIQIykRvD4vr0UdCyeYTccK7fEGiJwCRygt9CAf4SDeXbbtufbWxwWOK2MCW1gvJDFuumoUhESBCYrCDrRvcFkpTJxkgO~mKhjVIYOcSPJEyq~MbeTX2r0h~7-HvysCd7GrL59fsDdr2XgYoNbr7Ax83dVQgg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,FALSE,https://github.com/Watts-Lab/task-mapping/blob/Bullard-Houses/tasks/Bullard%20Houses.md
Estimating geological metrics,individual,Sarika,sarikasu -> katelynbottcher,2021-04-17T14:43:58.582Z,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,1,1 per question ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Cumulative performance,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,make each question multiple choice and have people select correct answer ,limit the number of messages groups can send to each other in the chat,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,estimating geological metrics,Estimating geological metrics,2,https://hci.stanford.edu/publications/2019/fracture/fracture-cscw2019.pdf,FALSE,https://github.com/Watts-Lab/task-mapping/issues/82#issue-849438465
